Route,Algorithm,Travel Time Min,Path Nodes,Runtime Seconds,Memory MB,Found Path,Gap
Nashville_Cookeville,Dijkstra,19.999982480672525,60,0.13780713081359863,12.500335693359375,True,baseline
Nashville_Cookeville,A*,20.267095727251267,57,0.0537114143371582,17.500648498535156,True,1.3%
Nashville_Cookeville,Bellman-Ford,19.999982480672525,60,59.949535608291626,82.48948287963867,True,0.0%
Nashville_Tennessee_USA,Dijkstra,19.999048269955395,65,0.39835381507873535,5.454948425292969,True,baseline
Nashville_Tennessee_USA,A*,23.792812373751573,154,0.0336461067199707,4.313148498535156,True,19.0%
Nashville_Tennessee_USA,Bellman-Ford,19.999048269955395,65,3.2868833541870117,16.100353240966797,True,0.0%
New York City_NY_USA,Dijkstra,19.99976371335268,107,0.662207841873169,7.962944030761719,True,baseline
New York City_NY_USA,A*,21.16419563238112,132,0.12128686904907227,8.750663757324219,True,5.8%
New York City_NY_USA,Bellman-Ford,19.99976371335268,107,18.811036586761475,38.02384567260742,True,0.0%
Raleigh_North_Carolina_USA,Dijkstra,20.00743659967467,128,0.3578166961669922,1.9968643188476562,True,baseline
Raleigh_North_Carolina_USA,A*,20.00743659967467,128,0.07601141929626465,1.9694137573242188,True,0.0%
Raleigh_North_Carolina_USA,Bellman-Ford,20.00743659967467,128,3.0693063735961914,10.07509994506836,True,0.0%
Savannah_Georgia_USA,Dijkstra,19.27666552282924,97,0.12127161026000977,1.3020553588867188,True,baseline
Savannah_Georgia_USA,A*,19.27666552282924,97,0.08484220504760742,1.1013565063476562,True,0.0%
Savannah_Georgia_USA,Bellman-Ford,19.27666552282924,97,1.2763111591339111,4.184246063232422,True,0.0%
Tennessee_USA,Dijkstra,19.998056686759,69,0.20413947105407715,50.000335693359375,True,baseline
Tennessee_USA,A*,19.998056686759,69,0.21120834350585938,70.00064849853516,True,0.0%
Tennessee_USA,Bellman-Ford,19.998056686759,69,295.40285444259644,281.83413314819336,True,0.0%
